circuit_id,circuit_family,simulation_mode,execution_status,compliance_status,robustness_status,scientific_category,expected_metrics,extracted_metrics,passed_metrics,failed_metrics,missing_metrics,runtime_seconds,paper_eligible,error_type
p01_amplifier,amplifier,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,3,3,3,0,0,0.7400059700012207,True,
p02_amplifier,amplifier,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,3,3,3,0,0,0.33431506156921387,True,
p03_amplifier,amplifier,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,3,3,3,0,0,0.3170015811920166,True,
p04_amplifier,amplifier,REAL,SUCCESS,FAIL,NOT_EVALUATED,SIMULABLE_NONCOMPLIANT,3,3,2,1,0,0.2990398406982422,True,
p05_amplifier,amplifier,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,3,3,3,0,0,0.4281947612762451,True,
p06_inverter,amplifier,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,2,2,2,0,0,5.563339471817017,True,
p07_inverter,amplifier,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,2,2,2,0,0,4.1609578132629395,True,
p08_currentmirror,current_mirror,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,2,2,2,0,0,0.4062032699584961,True,
p09_comparator,comparator,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,1,1,1,0,0,15.308848857879639,True,
p10_lowpass,low_pass_filter,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,1,1,1,0,0,0.8150005340576172,True,
p11_highpass,high_pass_filter,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,1,1,1,0,0,0.3260018825531006,True,
p12_bandpass,band_pass_filter,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,1,1,1,0,0,0.2559988498687744,True,
p13_bandstop,notch_filter,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,1,1,1,0,0,0.49399447441101074,True,
p14_amplifier,amplifier,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,3,3,3,0,0,0.48399996757507324,True,
p15_amplifier,amplifier,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,3,3,3,0,0,0.2779991626739502,True,
p16_opamp,opamp,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,3,3,3,0,0,0.30899620056152344,True,
p17_currentmirror,current_mirror,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,2,2,2,0,0,0.3210017681121826,True,
p18_opamp,opamp,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,3,3,3,0,0,0.44127488136291504,True,
p19_mixer,mixer,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,2,2,2,0,0,2.7251555919647217,True,
p20_opamp,opamp,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,3,3,3,0,0,0.38500285148620605,True,
p21_opamp,opamp,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,3,3,3,0,0,0.4839973449707031,True,
p22_oscillator,oscillator,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,2,2,2,0,0,11.940808534622192,True,
p23_oscillator,oscillator,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,2,2,2,0,0,12.49000334739685,True,
p24_integrator,opamp_integrator,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,2,2,2,0,0,7.336209297180176,True,
p25_differentiator,opamp_differentiator,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,1,1,1,0,0,9.587554931640625,True,
p26_adder,composite,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,1,1,1,0,0,0.8432927131652832,True,
p27_subtractor,composite,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,1,1,1,0,0,0.6999969482421875,True,
p28_schmitt,schmitt_trigger,REAL,SUCCESS,PASS,NOT_EVALUATED,SIMULABLE_COMPLIANT,1,1,1,0,0,0.6777200698852539,True,
